"SU","transect","min","Date","Time","Mode_num","Mode","V","A","W","log_W","Ah","mAh","Wh","Latitude","Longitude","EKFlat","EKFlon","DVLx","DVLy","DVLlat","DVLlon","Altitude","Depth","Depth_Source","Heading","Velocity_mps","Width","Area_m2","Distance","NEDz","VFR_alt"
323,"0",5.38,"10/8/2025","10:13:24",0,"STABILIZE",13.57172727,5.211969697,70.73750242,1.85574625240555,0.073,73,1,47.6261202,-122.3754561,NA,NA,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",28.42643176,0,0,0,0,NA,-0.170000002
324,"0",5.4,"10/8/2025","10:13:25",0,"STABILIZE",13.53620896,9.309925373,125.9669775,2.10369078115764,0.075,75,1.027777778,47.6261225,-122.3754183,47.6261225,-122.3754183,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",29.10873637,0,0,0,0,NA,-0.289999992
325,"0",5.42,"10/8/2025","10:13:26",0,"STABILIZE",13.3588,10.28883871,137.4072809,2.14115893673578,0.078,78,1.055555556,47.6261256,-122.375418,47.6261256,-122.375418,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",18.17117047,0.135069432,0,0,0,NA,0
326,"0",5.43,"10/8/2025","10:13:27",0,"STABILIZE",13.40975676,13.805,185.1212311,2.26979591651419,0.082,82,1.111111111,47.6261253,-122.3754177,47.6261253,-122.3754177,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",40.64837095,0.238750421,0,0,0,NA,0
327,"0",5.45,"10/8/2025","10:13:28",0,"STABILIZE",13.4962349,7.937181208,107.0393423,2.03358193171358,0.084,84,1.138888889,47.6261147,-122.3754261,47.6261147,-122.3754261,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",35.46332845,0.203167017,0,0,0,NA,0
328,"0",5.47,"10/8/2025","10:13:29",0,"STABILIZE",13.567,5.610405405,76.11637014,1.88714657917708,0.086,86,1.166666667,47.6261227,-122.3754168,47.6261227,-122.3754168,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",35.7681752,0.318110796,0,0,0,NA,0
329,"0",5.48,"10/8/2025","10:13:30",0,"STABILIZE",13.58631757,3.98,54.00299608,1.74038634668647,0.087,87,1.166666667,47.6261264,-122.3754119,47.6261264,-122.3754119,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",37.89861838,0.641059933,0,0,0,NA,0
330,"0",5.5,"10/8/2025","10:13:31",0,"STABILIZE",13.65387248,1.289194631,17.60223658,1.26956516335541,0.087,87,1.194444444,47.6261272,-122.3754085,47.6261272,-122.3754085,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",39.88192827,0.486312754,0,0,0,NA,0
331,"0",5.52,"10/8/2025","10:13:32",0,"STABILIZE",13.56859459,6.535337838,88.5629425,1.95212835344787,0.089,89,1.194444444,47.6261278,-122.3754088,47.6261278,-122.3754088,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",37.73069631,0.361724181,0,0,0,NA,0
332,"0",5.53,"10/8/2025","10:13:33",0,"STABILIZE",13.5570473,4.911351351,66.58333649,1.82983962844846,0.09,90,1.222222222,47.6261122,-122.3754261,47.6261122,-122.3754261,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",37.37407827,0.510962575,0,0,0,NA,0
333,"0",5.55,"10/8/2025","10:13:34",0,"STABILIZE",13.57969677,4.875870968,66.21684077,1.82747809652384,0.091,91,1.25,47.6261116,-122.3754237,47.6261236,-122.3754114,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",42.73789376,1.839388254,0,0,0,NA,0
334,"0",5.57,"10/8/2025","10:13:35",0,"STABILIZE",13.57721622,5.179864865,70.32743149,1.853256585302,0.093,93,1.25,47.6261244,-122.3754087,47.6261244,-122.3754087,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",39.19766376,2.882533824,0,0,0,NA,0
335,"0",5.58,"10/8/2025","10:13:36",0,"STABILIZE",13.57901316,5.1475,69.89801526,1.85063407758511,0.094,94,1.277777778,47.6261272,-122.3754046,47.6261272,-122.3754046,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",32.78312597,1.713593746,0,0,0,NA,0
336,"0",5.6,"10/8/2025","10:13:37",0,"STABILIZE",13.6407027,2.320608108,31.64992655,1.51388220861368,0.095,95,1.277777778,47.6261299,-122.3754012,47.6261299,-122.3754012,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",31.35559554,2.416256482,0,0,0,NA,0
337,"0",5.62,"10/8/2025","10:13:38",0,"STABILIZE",13.61262838,2.40222973,32.64866216,1.52696780175227,0.095,95,1.305555556,47.6261299,-122.3754012,47.6261268,-122.3754059,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",33.25480579,3.269658796,0,0,0,NA,0.98999995
338,"0",5.63,"10/8/2025","10:13:39",0,"STABILIZE",13.553,5.358513514,72.62404514,1.86701967529101,0.097,97,1.305555556,47.62613,-122.3754002,47.62613,-122.3754002,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",38.18998177,3.137220178,0,0,0,NA,0
339,"0",5.65,"10/8/2025","10:13:40",0,"STABILIZE",13.57441892,4.509054054,61.19664703,1.79376697286415,0.098,98,1.333333333,47.6261302,-122.3753978,47.6261302,-122.3753978,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",61.47883662,2.815885447,0,0,0,NA,0
340,"0",5.67,"10/8/2025","10:13:41",0,"STABILIZE",13.55307792,5.756428571,78.01516877,1.89771047205926,0.1,100,1.361111111,47.6261318,-122.3753952,47.6261318,-122.3753952,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",101.6952077,3.209037411,0,0,0,NA,0
341,"0",5.68,"10/8/2025","10:13:42",0,"STABILIZE",13.5505,5.9,79.944485,1.90818726426098,0.101,101,1.361111111,47.6261309,-122.3753994,47.6261309,-122.3753994,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",148.2755224,3.577337149,0,0,0,NA,0
342,"0",5.7,"10/8/2025","10:13:43",0,"STABILIZE",13.48289865,5.490067568,74.05544277,1.87538219130639,0.103,103,1.388888889,47.6261284,-122.3754027,47.6261284,-122.3754027,NA,NA,47.6261202,-122.3754561,0,NA,"NEDz",176.9656331,3.254341462,0,0,0,NA,0
