"","X","time","date","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","avg_dist","avg_conf","EucDIS","clock","clock_min","lat_smooth","lon_smooth","EucSmooth","heading_degrees","radians","sim_x","sim_y","sim_steps","width","height","area"
"1",1,"14:05:27","10/6/2022","00:23:44",-6.67512,276,88,47.6302642,-122.3983306,10,55.26,23.7666666666667,0.748333333333333,100,NA,1,0.0166666666666667,47.6302635503159,-122.398323957805,NA,276,4.81710926666667,47.63037,-122.3983306,0,2.09824928073292,0.917158512916098,1.92442719004427
"2",2,"14:05:28","10/6/2022","00:23:45",-6.61416,275,88,47.6302642,-122.3983306,10,55.22,23.7833333333333,0.688444444444444,100,0,2,0.0333333333333333,47.6302644328296,-122.398325067835,0.128744713610098,275,4.79965597222222,47.6303701427475,-122.398332231601,1.6378339368772e-06,1.93032702946119,0.843758596292226,1.62873002476312
"3",3,"14:05:29","10/6/2022","00:23:46",-6.52272,274,88,47.6302642,-122.3983306,10,55.2,23.8,0.701111111111111,100,0,3,0.05,47.6302652579735,-122.398326200421,0.125102318607584,274,4.78220267777778,47.6303702835184,-122.398334244704,2.01801883347167e-06,1.96584305292126,0.859282882925105,1.68921528589247
"4",4,"14:05:30","10/6/2022","00:23:47",-6.43128,275,88,47.6302642,-122.3983306,10,55.2,23.8166666666667,0.744111111111111,100,0,4,0.0666666666666667,47.6302660299532,-122.398327355659,0.122041992158579,275,4.79965597222222,47.6303702835184,-122.398334244704,0,2.08641060624623,0.911983750705139,1.90277257019542
"5",5,"14:05:31","10/6/2022","00:23:48",-6.37032,276,88,47.630268,-122.3983306,10,55.2,23.8333333333333,0.814111111111111,100,0.422337487654203,5,0.0833333333333333,47.6302667528677,-122.39832853363,0.119530825324761,276,4.81710926666667,47.6303703777396,-122.398335141154,9.01387823684699e-07,2.28268336747291,0.997775861044729,2.27760636247277
"6",6,"14:05:32","10/6/2022","00:23:49",-6.30936,276,88,47.630268,-122.3983306,10,55.18,23.85,0.902777777777778,100,0,6,0.1,47.6302674307101,-122.398329734403,0.117532571513278,276,4.81710926666667,47.6303704841797,-122.398336153859,1.01828286602018e-06,2.53129553169338,1.10644586747488,2.80074148039977
"7",7,"14:05:33","10/6/2022","00:23:50",-6.33984,276,88,47.630268,-122.3983306,10,55.18,23.8666666666667,0.969,100,0,7,0.116666666666667,47.6302680673674,-122.398330958037,0.116008581423269,276,4.81710926666667,47.6303706572059,-122.398337800085,1.65529454262024e-06,2.71697579469514,1.18760792741519,3.22670199237513
"8",8,"14:05:34","10/6/2022","00:23:51",-6.33984,276,88,47.630268,-122.3983306,10,55.17,23.8833333333333,1.00355555555556,100,0,8,0.133333333333333,47.6302686666201,-122.398332204576,0.114918695263217,276,4.81710926666667,47.630370949917,-122.398340585031,2.80028570182324e-06,2.81386599904674,1.22995927077331,3.46094057224133
"9",9,"14:05:35","10/6/2022","00:23:52",-6.33984,276,88,47.6302719,-122.3983306,10,55.17,23.9,1.03522222222222,100,0.433451632508959,9,0.15,47.6302692321429,-122.398333474051,0.114222344973329,276,4.81710926666667,47.6303710965149,-122.39834197981,1.4024621146407e-06,2.90265605769689,1.2687699873555,3.68280288962144
"10",10,"14:05:36","10/6/2022","00:23:53",-6.37032,276,88,47.6302719,-122.3983306,10,55.17,23.9166666666667,1.04122222222222,100,0,10,0.166666666666667,47.630269767504,-122.398334766485,0.113879589352463,276,4.81710926666667,47.6303710965149,-122.39834197981,0,2.9194794372306,1.27612359681318,3.72561660026082
"11",11,"14:05:37","10/6/2022","00:23:54",-6.37032,276,88,47.6302719,-122.3983306,10,55.17,23.9333333333333,1.03311111111111,100,0,11,0.183333333333333,47.6302702761659,-122.398336081883,0.113852018893039,276,4.81710926666667,47.630371158187,-122.398342566578,5.89999999078827e-07,2.89673672045355,1.26618260625002,3.667797650324
"12",12,"14:05:38","10/6/2022","00:23:55",-6.37032,276,88,47.6302719,-122.3983306,10,55.17,23.95,1.01144444444444,100,0,12,0.2,47.6302707614844,-122.398337420243,0.114103427054537,276,4.81710926666667,47.6303713923506,-122.398344794484,2.24017856278132e-06,2.8359856276929,1.23962790543062,3.51556692348828
"13",13,"14:05:39","10/6/2022","00:23:56",-6.37032,277,88,47.6302719,-122.3983306,10,55.15,23.9666666666667,0.999111111111111,100,0,13,0.216666666666667,47.6302712267095,-122.398338781547,0.114600541612655,277,4.83456256111111,47.6303716382894,-122.398346797486,2.01804360291664e-06,2.80140423642916,1.2245121526565,3.43035353201092
"14",14,"14:05:40","10/6/2022","00:23:57",-6.37032,273,88,47.6302719,-122.3983306,10,55.17,23.9833333333333,1.02166666666667,100,0,14,0.233333333333333,47.6302716749849,-122.398340165765,0.115313179295856,273,4.76474938333333,47.6303717670371,-122.398349254114,2.46000000008347e-06,2.86464768171332,1.25215627709927,3.5869865763352
"15",15,"14:05:41","10/6/2022","00:23:58",-6.37032,273,88,47.630268,-122.3983383,10,55.15,24,1.02922222222222,100,0.722864607754315,15,0.25,47.6302721093481,-122.398341572857,0.116214529945564,273,4.76474938333333,47.6303719252596,-122.398352273148,3.02317713876147e-06,2.88583267816317,1.26141637789782,3.64023660410775
"16",16,"14:05:42","10/6/2022","00:23:59",-6.37032,273,88,47.6302719,-122.3983383,10,55.13,24.0166666666667,1.00711111111111,100,0.433451634038271,16,0.266666666666667,47.6302725327306,-122.398343002768,0.117281221318717,273,4.76474938333333,47.6303720038149,-122.398353772057,1.50096635909847e-06,2.82383540914078,1.23431696526674,3.48550795262341
"17",17,"14:05:43","10/6/2022","00:24:00",-6.37032,274,88,47.6302719,-122.3983383,10,55.13,24.0333333333333,0.98,100,0,17,0.283333333333333,47.6302729479575,-122.398344455433,0.118493044345216,274,4.78220267777778,47.6303721955147,-122.398356513471,2.74810842731136e-06,2.74781865717362,1.20108954475427,3.30037626001194
