meter_number,timestamp,strftime,cumulative_dist,step_distance_m,gap_seconds,quality_flag,x,y
0,1738000895.604504,2025_01_27_10-01-35,0.0,0.0,0.0,good,-26.5296728304117,13.662718461291625
1,1738000948.666285,2025_01_27_10-02-28,1.0107,0.0159,0.34,good,-25.767721081254493,13.402746532686907
2,1738000966.498157,2025_01_27_10-02-46,2.0025,0.0222,0.33,good,-24.91712152661376,12.896174924290595
3,1738000980.621996,2025_01_27_10-03-00,3.0173,0.0246,0.33,good,-24.135605038695076,12.2489006507456
4,1738000993.832965,2025_01_27_10-03-13,4.0009,0.0247,0.34,good,-23.39885899557996,11.597477637713228
5,1738001007.339019,2025_01_27_10-03-27,5.0116,0.0244,0.33,good,-22.593076335850046,10.988155094545279
6,1738001021.571998,2025_01_27_10-03-41,6.0172,0.0235,0.33,good,-21.80545548775896,10.363355660319922
7,1738001035.101788,2025_01_27_10-03-55,7.0025,0.0252,0.33,good,-21.03135766556014,9.75411445465847
8,1738001048.096672,2025_01_27_10-04-08,8.0022,0.0259,0.34,good,-20.224055323434705,9.164623891536277
9,1738001061.313623,2025_01_27_10-04-21,9.0095,0.0246,0.34,good,-19.385815473338265,8.60600677888785
10,1738001075.305126,2025_01_27_10-04-35,10.0086,0.0236,0.33,good,-18.575514949969392,8.022219610451465
11,1738001089.291436,2025_01_27_10-04-49,11.0086,0.0229,0.33,good,-17.78381435906709,7.411189316517085
12,1738001104.113699,2025_01_27_10-05-04,12.0191,0.0223,0.33,good,-16.971590103794686,6.810252393656109
13,1738001119.319398,2025_01_27_10-05-19,13.0048,0.0219,0.34,good,-16.168802104779143,6.238423005858464
14,1738001133.93159,2025_01_27_10-05-33,14.0075,0.0239,0.33,good,-15.342758695877606,5.670176674477497
15,1738001147.656767,2025_01_27_10-05-47,15.0022,0.0242,0.33,good,-14.48398923636669,5.168430335486113
16,1738001161.272879,2025_01_27_10-06-01,16.0054,0.0245,0.34,good,-13.58131921113427,4.731039824177377
17,1738001174.87803,2025_01_27_10-06-14,17.0086,0.0241,0.33,good,-12.681412155948468,4.287749604799261
18,1738001189.428993,2025_01_27_10-06-29,18.0144,0.0219,0.33,good,-11.75709168353484,3.8918233214326166
19,1738001205.049118,2025_01_27_10-06-45,19.0155,0.0207,0.33,good,-10.809647280185377,3.5686565192777717
20,1738001221.047013,2025_01_27_10-07-01,20.0148,0.0212,0.34,good,-9.853196725323425,3.2794234847547994
21,1738001237.302891,2025_01_27_10-07-17,21.0177,0.02,0.33,good,-8.90077403291541,2.965565337470515
22,1738001252.706353,2025_01_27_10-07-32,22.0149,0.0236,0.33,good,-7.979463759939469,2.584663628345698
23,1738001266.403399,2025_01_27_10-07-46,23.012,0.0246,0.33,good,-7.083396830962072,2.1474986877014386
24,1738001279.546316,2025_01_27_10-07-59,24.0006,0.0253,0.32,good,-6.2428424180443605,1.6285406054676377
25,1738001292.515398,2025_01_27_10-08-12,25.0023,0.0259,0.33,good,-5.450422558618422,1.0158969892399727
26,1738001305.164079,2025_01_27_10-08-25,26.0026,0.0263,0.33,good,-4.654501621995992,0.41010597264231996
27,1738001318.449095,2025_01_27_10-08-38,27.0049,0.0239,0.33,good,-3.8293413599925255,-0.15861135879323
28,1738001332.595052,2025_01_27_10-08-52,28.0172,0.0237,0.33,good,-3.0096128117385788,-0.7525765271127614
29,1738001346.579029,2025_01_27_10-09-06,29.017,0.0234,0.34,good,-2.151211715474799,-1.2638802000168543
30,1738001360.582949,2025_01_27_10-09-20,30.0167,0.0248,0.33,good,-1.2437902725815995,-1.6824234670667506
31,1738001373.524761,2025_01_27_10-09-33,31.022,0.0268,0.33,good,-0.3102299409191036,-2.0553302877577977
32,1738001385.59574,2025_01_27_10-09-45,32.0162,0.0283,0.33,good,0.6048109447120211,-2.4440653709629876
