meter_number,timestamp,strftime,cumulative_dist,step_distance_m,gap_seconds,quality_flag,x,y
0,1728413533.39,2024_10_08_11-52-13,0.0,0.0,0.0,good,0.6300660520792007,21.42938804626465
1,1728413559.175116,2024_10_08_11-52-39,1.0107,0.0179,0.33,good,0.9963199325970241,20.691653660365514
2,1728413580.276955,2024_10_08_11-53-00,2.0048,0.022,0.34,good,1.9524261951446533,20.641914912632533
3,1728413591.252927,2024_10_08_11-53-11,3.0078,0.0289,0.34,good,2.9328839778900146,20.841067995343888
4,1728413602.90686,2024_10_08_11-53-22,4.0067,0.0252,0.33,good,3.8868917397090366,21.02899878365653
5,1728413614.800159,2024_10_08_11-53-34,5.0152,0.0281,0.34,good,4.854444708142962,20.751548222133092
6,1728413624.622509,2024_10_08_11-53-44,6.0025,0.0315,0.34,good,5.763556957244873,20.367980684552872
7,1728413633.330822,2024_10_08_11-53-53,7.0329,0.0369,0.35,good,6.740524768829346,20.046807425362722
8,1728413642.219607,2024_10_08_11-54-02,8.007,0.0355,0.33,good,7.7043745177132745,19.9179082598005
9,1728413650.679843,2024_10_08_11-54-10,9.0366,0.0457,0.33,good,8.68257577078683,19.630811146327428
10,1728413657.556209,2024_10_08_11-54-17,10.0062,0.0422,0.33,good,9.593547412327357,19.305672236851283
11,1728413666.401133,2024_10_08_11-54-26,11.0348,0.0584,0.34,good,10.484741347176689,18.808307920183456
12,1728413672.515946,2024_10_08_11-54-32,12.0149,0.058,0.34,good,11.365751538957868,18.39371735709054
13,1728413678.817758,2024_10_08_11-54-38,13.0171,0.0564,0.33,good,12.20667484828404,17.866183144705637
14,1728413683.567361,2024_10_08_11-54-43,14.0052,0.0787,0.34,good,13.04793221609933,17.409408569335938
15,1728413689.728412,2024_10_08_11-54-49,15.0267,0.049,0.33,good,13.864469255719866,16.828523908342635
16,1728413701.87927,2024_10_08_11-55-01,16.0025,0.039,0.33,good,14.30675997052874,15.989219120570592
17,1728413711.803167,2024_10_08_11-55-11,17.0065,0.0246,0.33,good,14.532481602260045,15.052809170314244
18,1728413719.859078,2024_10_08_11-55-19,18.002,0.0325,0.33,good,14.835346630641393,14.130966322762626
19,1728413728.526964,2024_10_08_11-55-28,19.0019,0.0459,0.33,good,15.157557487487793,13.205297878810338
20,1728413738.169558,2024_10_08_11-55-38,20.0022,0.0277,0.34,good,15.351606232779366,12.259282657078334
21,1728413757.840677,2024_10_08_11-55-57,21.0003,0.0149,0.34,good,15.593343462262835,11.325896263122559
22,1728413773.696801,2024_10_08_11-56-13,22.0077,0.0179,0.35,good,16.20440101623535,10.603830473763603
23,1728413784.373124,2024_10_08_11-56-24,23.0159,0.0491,0.33,good,16.80159432547433,9.884094646998815
24,1728413792.268057,2024_10_08_11-56-32,24.0186,0.0286,0.36,good,17.49149485996791,9.201000894818987
25,1728413801.266866,2024_10_08_11-56-41,25.019,0.0316,0.34,good,18.16953468322754,8.486065319606237
26,1728413808.82391,2024_10_08_11-56-48,26.0377,0.041,0.35,good,19.050936562674387,8.087408202035087
27,1728413816.024954,2024_10_08_11-56-56,27.015,0.0506,0.32,good,20.02307047162737,8.017872061048235
28,1728413823.584868,2024_10_08_11-57-03,28.0229,0.0374,0.32,good,20.9824766431536,7.876200948442731
29,1728413831.321077,2024_10_08_11-57-11,29.0132,0.037,0.34,good,21.867421558925084,7.59048284803118
30,1728413838.269579,2024_10_08_11-57-18,30.0235,0.048,0.33,good,22.83303451538086,7.32987996510097
31,1728413844.884476,2024_10_08_11-57-24,31.0316,0.0498,0.33,good,23.725857870919363,6.878096512385777
32,1728413852.090579,2024_10_08_11-57-32,32.0494,0.0507,0.34,good,24.59183147975377,6.353457518986294
33,1728413859.172395,2024_10_08_11-57-39,33.0327,0.0449,0.33,good,25.365922655378068,5.748457499912807
34,1728413866.870818,2024_10_08_11-57-46,34.0258,0.0417,0.34,good,26.17418316432408,5.172459534236363
35,1728413875.2915,2024_10_08_11-57-55,35.0105,0.0336,0.33,good,27.070157732282365,4.793930189950125
36,1728413883.643971,2024_10_08_11-58-03,36.0093,0.0388,0.33,good,27.928246906825475,4.28907789502825
37,1728413894.476812,2024_10_08_11-58-14,37.0178,0.0254,0.34,good,28.834114619663783,3.9037515095302036
38,1728413904.343119,2024_10_08_11-58-24,38.0025,0.0396,0.33,good,29.55782781328474,3.287121432168143
39,1728413915.352165,2024_10_08_11-58-35,39.0005,0.0282,0.33,good,30.35868235996791,2.7008237838745117
40,1728413927.792125,2024_10_08_11-58-47,40.0261,0.0387,0.34,good,31.134794780186244,2.0465674570628574
41,1728413938.608463,2024_10_08_11-58-58,41.0094,0.0481,0.31,good,31.693267277308873,1.2471778733389718
42,1728413947.98425,2024_10_08_11-59-07,42.0007,0.0214,0.34,good,32.252405984061106,0.47137864998408724
43,1728413959.357628,2024_10_08_11-59-19,43.0259,0.0295,0.34,good,32.95872824532645,-0.26023705516542706
44,1728413970.320295,2024_10_08_11-59-30,44.0252,0.0259,0.33,good,33.48037447248186,-1.1112162896565028
45,1728413982.367306,2024_10_08_11-59-42,45.0249,0.0304,0.34,good,34.173943110874724,-1.8234384911400932
46,1728413993.7941,2024_10_08_11-59-53,46.0114,0.0242,0.33,good,34.947386605399,-2.4233285018375943
47,1728414003.361944,2024_10_08_12-00-03,47.03,0.0398,0.33,good,35.47355433872768,-3.288795369012015
48,1728414015.302514,2024_10_08_12-00-15,48.0319,0.036,0.33,good,36.065272739955354,-4.078576735087803
49,1728414024.749292,2024_10_08_12-00-24,49.0196,0.0382,0.33,good,36.435259682791575,-4.993693760463169
50,1728414036.711258,2024_10_08_12-00-36,50.0167,0.0266,0.33,good,36.90642820085798,-5.861758027757917
51,1728414048.135913,2024_10_08_12-00-48,51.0101,0.0354,0.33,good,37.40672411237444,-6.712417261941092
52,1728414060.988499,2024_10_08_12-01-00,52.0143,0.0209,0.34,good,37.99380384172712,-7.357981136866978
53,1728414073.915756,2024_10_08_12-01-13,53.021,0.0242,0.33,good,38.70797511509487,-8.03805787222726
54,1728414087.71523,2024_10_08_12-01-27,54.0073,0.017,0.34,good,39.31641224452427,-8.802342006138392
55,1728414104.511745,2024_10_08_12-01-44,55.0005,0.0227,0.35,good,40.16071537562779,-9.30328927721296
56,1728414116.412299,2024_10_08_12-01-56,56.012,0.0455,0.34,good,40.81670979091099,-10.008328029087611
57,1728414125.176883,2024_10_08_12-02-05,57.0391,0.0414,0.34,good,41.59896959577288,-10.657494272504534
58,1728414133.264236,2024_10_08_12-02-13,58.0285,0.042,0.32,good,42.46623774937221,-11.127960750034877
59,1728414143.681842,2024_10_08_12-02-23,59.0113,0.03,0.33,good,43.328401293073384,-11.590460913521904
60,1728414153.368064,2024_10_08_12-02-33,60.0144,0.0493,0.33,good,44.32480948311942,-11.5988130569458
61,1728414159.912515,2024_10_08_12-02-39,61.0285,0.0448,0.33,good,45.336917877197266,-11.568755422319684
62,1728414167.329221,2024_10_08_12-02-47,62.0169,0.0465,0.34,good,46.283531188964844,-11.829761505126953
63,1728414174.6431,2024_10_08_12-02-54,63.0205,0.0516,0.33,good,47.20752934047154,-12.219582012721471
64,1728414181.578176,2024_10_08_12-03-01,64.0263,0.0455,0.33,good,48.12163489205496,-12.633300917489189
65,1728414188.212168,2024_10_08_12-03-08,65.0324,0.0501,0.33,good,49.08035005841936,-12.93524728502546
66,1728414194.829213,2024_10_08_12-03-14,66.0397,0.0511,0.33,good,49.90670830862863,-13.506713049752372
67,1728414203.378567,2024_10_08_12-03-23,67.0061,0.051,0.33,good,50.606045314243865,-14.144333294459752
68,1728414210.851668,2024_10_08_12-03-30,68.0293,0.0443,0.35,good,51.57056862967355,-14.474164281572614
69,1728414218.654315,2024_10_08_12-03-38,69.0119,0.0461,0.35,good,52.39172962733677,-14.99980994633266
70,1728414225.973988,2024_10_08_12-03-45,70.0114,0.0453,0.33,good,53.28027125767299,-15.45290115901402
71,1728414232.818774,2024_10_08_12-03-52,71.0361,0.0516,0.34,good,54.125104086739675,-16.03130599430629
72,1728414240.577138,2024_10_08_12-04-00,72.0157,0.0392,0.33,good,54.95645196097238,-16.524130957467214
73,1728414248.060005,2024_10_08_12-04-08,73.0378,0.0398,0.33,good,55.765425545828684,-17.135513850620814
74,1728414255.524915,2024_10_08_12-04-15,74.024,0.045,0.33,good,56.42963409423828,-17.86174692426409
75,1728414263.937599,2024_10_08_12-04-23,75.0105,0.0432,0.33,good,57.2324469430106,-18.42385619027274
76,1728414271.598268,2024_10_08_12-04-31,76.0114,0.0414,0.3,good,58.12846919468471,-18.866945266723633
77,1728414280.178473,2024_10_08_12-04-40,77.0187,0.0376,0.34,good,58.8649526323591,-19.545745577130997
78,1728414287.788189,2024_10_08_12-04-47,78.0259,0.0405,0.33,good,59.56411797659738,-20.267835889543807
79,1728414296.018425,2024_10_08_12-04-56,79.0412,0.0445,0.34,good,60.17801121303013,-21.07251685006278
80,1728414303.16872,2024_10_08_12-05-03,80.0189,0.0411,0.33,good,60.71811294555664,-21.8867062159947
81,1728414311.36887,2024_10_08_12-05-11,81.0376,0.0382,0.28,good,61.232804434640066,-22.761165073939733
82,1728414321.360791,2024_10_08_12-05-21,82.032,0.0385,0.32,good,61.72788347516741,-23.573212214878627
83,1728414328.321849,2024_10_08_12-05-28,83.0504,0.0554,0.35,good,62.026088169642854,-24.518721989222936
84,1728414336.696708,2024_10_08_12-05-36,84.0361,0.0468,0.33,good,62.388749258858816,-25.360584803989955
85,1728414343.737257,2024_10_08_12-05-43,85.0211,0.034,0.33,good,62.64084679739816,-26.272329602922714
86,1728414353.096757,2024_10_08_12-05-53,86.0218,0.0403,0.34,good,63.311401912144255,-26.98758179800851
87,1728414362.559375,2024_10_08_12-06-02,87.0039,0.0395,0.33,good,63.7131358555385,-27.849720001220703
88,1728414370.87659,2024_10_08_12-06-10,88.0061,0.0363,0.28,good,64.1890869140625,-28.600328172956193
89,1728414385.04601,2024_10_08_12-06-25,89.0102,0.0175,0.34,good,64.97320556640625,-29.138931819370814
90,1728414397.280082,2024_10_08_12-06-37,90.0462,0.0522,0.32,good,65.2848641531808,-30.11399487086705
91,1728414405.441859,2024_10_08_12-06-45,91.0091,0.0271,0.33,good,65.82285744803292,-30.897727693830216
92,1728414418.856083,2024_10_08_12-06-58,92.0017,0.0275,0.33,good,66.50862775530133,-31.567069462367467
93,1728414430.261373,2024_10_08_12-07-10,93.0262,0.032,0.32,good,67.42239379882812,-31.986339569091797
94,1728414440.69328,2024_10_08_12-07-20,94.0223,0.0422,0.36,good,68.31082480294364,-32.385343824114116
95,1728414449.714816,2024_10_08_12-07-29,95.019,0.0475,0.33,good,69.25714656284877,-32.6754640851702
96,1728414456.762695,2024_10_08_12-07-36,96.0112,0.0481,0.34,good,70.11137172154018,-33.17623628888811
97,1728414464.081026,2024_10_08_12-07-44,97.0107,0.042,0.34,good,71.00145503452846,-33.614871978759766
98,1728414473.355743,2024_10_08_12-07-53,98.0255,0.0432,0.22,good,71.85356140136719,-34.125592367989675
99,1728414481.063558,2024_10_08_12-08-01,99.0063,0.0244,0.32,good,72.67559814453125,-34.65395137241909
100,1728414493.026872,2024_10_08_12-08-13,100.0095,0.0286,0.33,good,73.16920362200055,-35.41374914986746
