meter_number_dvl,timestamp_dvl,cumulative_dist_dvl,increment_dvl,x_dvl,y_dvl,gps_lat,gps_lon,meter_number_ekf,timestamp_ekf,cumulative_dist_ekf,increment_ekf,lat_ekf,lon_ekf
1,2025_10_08_11-03-14,1.0955548275231752,1.0955548275231752,0.43325263261795044,0.12428545206785202,47.6261009,-122.3755439,12367458,2025_10_08_11-03-13,12367458.745672157,0.9489286225289106,47.6261009,-122.3755439
2,2025_10_08_11-03-17,2.0021999190117916,0.9066450914886164,0.9708362221717834,0.17473790049552917,47.6260987,-122.3755412,12367460,2025_10_08_11-03-17,12367460.25239949,1.039451314136386,47.6260987,-122.3755412
3,2025_10_08_11-03-23,3.0717697981639644,1.0695698791521728,1.7101917266845703,-0.14208871126174927,47.6261006,-122.3755549,12367462,2025_10_08_11-03-20,12367462.907921836,1.0057728942483664,47.6261152,-122.3755531
4,2025_10_08_11-03-30,4.048409788285342,0.9766399901213778,2.1839640140533447,-0.5105128288269043,47.6260996,-122.3755618,12367463,2025_10_08_11-03-24,12367463.931165319,0.8214403744786978,47.6261195,-122.375558
5,2025_10_08_11-03-33,5.017123262865886,0.9687134745805439,2.895382881164551,-1.1023859977722168,47.6260972,-122.3755693,12367464,2025_10_08_11-03-31,12367464.847275171,1.03912915289402,47.6261255,-122.3755655
6,2025_10_08_11-03-37,6.010303620076672,0.993180357210786,3.6492109298706055,-1.5949130058288574,47.6260938,-122.3755758,12367465,2025_10_08_11-03-34,12367465.873690799,0.9474135134369135,47.6261324,-122.3755726
7,2025_10_08_11-03-43,12.194641882194198,6.184338262117525,-0.8905530571937561,-3.0160021781921387,47.6260921,-122.3755916,12367466,2025_10_08_11-03-38,12367466.893713413,1.0799231976270676,47.626138,-122.3755765
8,2025_10_08_11-03-43,12.194641882194198,0.0,-0.8905530571937561,-3.0160021781921387,47.6260921,-122.3755916,12367466,2025_10_08_11-03-38,12367466.893713413,1.0799231976270676,47.626138,-122.3755765
9,2025_10_08_11-03-43,12.194641882194198,0.0,-0.8905530571937561,-3.0160021781921387,47.6260921,-122.3755916,12367466,2025_10_08_11-03-38,12367466.893713413,1.0799231976270676,47.626138,-122.3755765
10,2025_10_08_11-03-43,12.194641882194198,0.0,-0.8905530571937561,-3.0160021781921387,47.6260921,-122.3755916,12367466,2025_10_08_11-03-38,12367466.893713413,1.0799231976270676,47.626138,-122.3755765
11,2025_10_08_11-03-43,12.194641882194198,0.0,-0.8905530571937561,-3.0160021781921387,47.6260921,-122.3755916,12367466,2025_10_08_11-03-38,12367466.893713413,1.0799231976270676,47.626138,-122.3755765
12,2025_10_08_11-03-43,12.194641882194198,0.0,-0.8905530571937561,-3.0160021781921387,47.6260921,-122.3755916,12367466,2025_10_08_11-03-38,12367466.893713413,1.0799231976270676,47.626138,-122.3755765
13,2025_10_08_11-03-50,13.002569341226884,0.8079274590326868,-0.582256019115448,-3.2493927478790283,47.626095,-122.3755959,12367472,2025_10_08_11-03-43,12367472.92894316,0.0,47.6260949,-122.3755947
14,2025_10_08_11-04-00,14.010524815268203,1.007955474041319,-0.5227310061454773,-2.8102900981903076,47.6260945,-122.3755894,12367473,2025_10_08_11-03-51,12367473.93335416,0.8925939854234457,47.6260953,-122.375589
15,2025_10_08_11-04-30,15.004692280733671,0.994167465465468,0.08323496580123901,-2.9502904415130615,47.6261028,-122.3755931,12367474,2025_10_08_11-04-01,12367474.92897531,1.0229612588882446,47.6261008,-122.3755906
16,2025_10_08_11-04-43,16.03157656110909,1.0268842803754197,0.017966922372579575,-3.2814135551452637,47.6261082,-122.375604,12367475,2025_10_08_11-04-32,12367475.967577651,0.9809870682656765,47.6261003,-122.375595
17,2025_10_08_11-04-49,17.009851758600906,0.9782751974918149,-0.7954043745994568,-3.70993709564209,47.6260996,-122.3756043,12367476,2025_10_08_11-04-43,12367476.910510477,1.0008343178778887,47.6260933,-122.3756005
18,2025_10_08_11-04-55,18.00770433953362,0.9978525809327152,-1.7597731351852417,-3.7704222202301025,47.626093,-122.3755973,12367477,2025_10_08_11-04-49,12367477.922228595,1.0061652548611164,47.6260846,-122.3756018
19,2025_10_08_11-04-59,19.029361240695817,1.0216569011621957,-2.756679058074951,-3.7348403930664062,47.6260803,-122.3755822,12367478,2025_10_08_11-04-55,12367478.94895096,0.9903859384357929,47.6260756,-122.3756013
20,2025_10_08_11-05-04,20.029287607658915,0.9999263669630984,-3.6881470680236816,-3.387802839279175,47.626073,-122.3755739,12367479,2025_10_08_11-05-00,12367479.95093477,1.0050153248012066,47.6260672,-122.3755968
21,2025_10_08_11-05-09,21.024120814373486,0.9948332067145707,-4.553277969360352,-2.9143338203430176,47.6260684,-122.3755663,12367480,2025_10_08_11-05-05,12367480.961041605,0.9980778973549604,47.6260594,-122.3755904
22,2025_10_08_11-05-14,22.081241728712122,1.0571209143386362,-5.461030006408691,-2.3971898555755615,47.6260655,-122.3755641,12367482,2025_10_08_11-05-14,12367482.015092503,1.0003686472773552,47.6260513,-122.3755835
23,2025_10_08_11-05-17,23.035730164362167,0.9544884356500454,-6.334152698516846,-2.020191192626953,47.6260597,-122.3755539,12367482,2025_10_08_11-05-14,12367482.97637837,1.0003686472773552,47.6260434,-122.3755785
24,2025_10_08_11-05-20,24.062591207241045,1.0268610428788776,-7.087197780609131,-1.3298497200012207,47.6260496,-122.375538,12367483,2025_10_08_11-05-18,12367483.989191031,1.0283886902034283,47.6260367,-122.3755695
25,2025_10_08_11-05-23,25.030238805585707,0.9676475983446622,-7.8810648918151855,-0.8071353435516357,47.626044,-122.3755296,12367484,2025_10_08_11-05-21,12367484.97868481,1.0462070405483246,47.6260295,-122.3755622
26,2025_10_08_11-05-27,26.009809081656044,0.9795702760703371,-8.815189361572266,-0.6838825345039368,47.6260398,-122.3755245,12367485,2025_10_08_11-05-24,12367485.89279722,0.9557064026594162,47.6260216,-122.37556
27,2025_10_08_11-05-30,27.06147226844074,1.051663186784694,-9.589622497558594,-0.14740341901779175,47.6260298,-122.375518,12367487,2025_10_08_11-05-30,12367487.00449793,0.935323741286993,47.6260141,-122.3755536
28,2025_10_08_11-05-33,28.028708036989695,0.9672357685489565,-10.509827613830566,0.13003003597259521,47.6260235,-122.3755173,12367487,2025_10_08_11-05-30,12367487.967769125,0.935323741286993,47.6260059,-122.3755498
29,2025_10_08_11-05-37,29.07232617379503,1.0436181368053354,-11.507991790771484,0.42167016863822937,47.6260116,-122.375505,12367488,2025_10_08_11-05-34,12367488.994950173,1.0425378177314997,47.6259971,-122.3755458
30,2025_10_08_11-05-41,30.08093145004061,1.0086052762455786,-12.471193313598633,0.22245186567306519,47.6259995,-122.3754981,12367490,2025_10_08_11-05-41,12367490.003020702,0.9524790067225695,47.6259885,-122.3755485
31,2025_10_08_11-05-44,31.003309558275053,0.9223781082344438,-13.37848949432373,0.36078688502311707,47.6259926,-122.3755057,12367490,2025_10_08_11-05-41,12367490.923452169,0.9524790067225695,47.6259804,-122.3755465
32,2025_10_08_11-05-47,32.00576439456843,1.0024548362933778,-14.346765518188477,0.4920116662979126,47.6259831,-122.375506,12367491,2025_10_08_11-05-44,12367491.904830713,1.0093779005110264,47.6259719,-122.3755446
33,2025_10_08_11-05-50,33.05413782328076,1.0483734287123312,-15.22876262664795,-0.01511091087013483,47.6259779,-122.3755077,12367493,2025_10_08_11-05-50,12367493.010056619,0.947769045829773,47.6259635,-122.3755515
34,2025_10_08_11-05-54,34.0633999278784,1.0092621045976387,-16.130950927734375,-0.4542274475097656,47.6259679,-122.375522,12367493,2025_10_08_11-05-50,12367493.978861546,0.947769045829773,47.6259557,-122.375557
35,2025_10_08_11-05-57,35.01325510398447,0.9498551761060696,-16.938495635986328,-0.9110842943191528,47.6259563,-122.3755149,12367494,2025_10_08_11-05-54,12367494.919626843,1.032005701214075,47.6259485,-122.375563
