meter_number,timestamp,cumulative_dist,step_distance_m,gap_seconds,quality_flag,x,y
1,2024_12_05_10-23-26,1.001,0.0077,0.34,good,-15.026618003845215,-37.14838790893555
2,2024_12_05_10-23-40,2.0051,0.0229,0.33,good,-15.040634155273438,-36.20527267456055
3,2024_12_05_10-23-57,3.0143,0.0198,0.33,good,-15.03016185760498,-35.30209732055664
4,2024_12_05_10-24-14,4.0014,0.0287,0.33,good,-14.857365608215332,-34.3967170715332
5,2024_12_05_10-24-29,5.0116,0.0199,0.34,good,-14.543619155883789,-33.52712631225586
6,2024_12_05_10-24-43,6.0222,0.0263,0.34,good,-14.463695526123047,-32.664817810058594
7,2024_12_05_10-24-54,7.0059,0.0378,0.33,good,-14.371333122253418,-31.72933578491211
8,2024_12_05_10-25-10,8.0061,0.0138,0.33,good,-14.896830558776855,-31.1398983001709
9,2024_12_05_10-25-32,9.0032,0.0214,0.34,good,-14.778117179870605,-30.501670837402344
10,2024_12_05_10-25-46,10.0023,0.0098,0.34,good,-14.511959075927734,-29.76123809814453
11,2024_12_05_10-26-02,11.0058,0.0278,0.36,good,-14.69054889678955,-28.921335220336914
12,2024_12_05_10-26-20,12.0315,0.0367,0.33,good,-15.124303817749023,-28.20407485961914
13,2024_12_05_10-26-37,13.0134,0.0237,0.33,good,-15.439770698547363,-27.449474334716797
14,2024_12_05_10-26-52,14.0032,0.0266,0.33,good,-15.31911563873291,-26.572904586791992
15,2024_12_05_10-27-05,15.0276,0.0422,0.33,good,-15.367386817932129,-25.589279174804688
16,2024_12_05_10-27-20,16.009,0.0192,0.35,good,-15.280360221862793,-24.677255630493164
17,2024_12_05_10-27-33,17.045,0.0576,0.34,good,-15.343783378601074,-23.811992645263672
18,2024_12_05_10-27-43,18.0277,0.0505,0.34,good,-15.685288429260254,-22.96047592163086
19,2024_12_05_10-27-53,19.0124,0.0367,0.34,good,-16.151309967041016,-22.17485809326172
20,2024_12_05_10-28-08,20.0265,0.0322,0.34,good,-16.41050910949707,-21.860233306884766
21,2024_12_05_10-28-21,21.0293,0.0305,0.34,good,-16.487707138061523,-20.94095802307129
22,2024_12_05_10-28-31,22.0009,0.0208,0.33,good,-16.906417846679688,-20.088621139526367
23,2024_12_05_10-28-48,23.0119,0.012,0.56,good,-17.05283546447754,-19.129358291625977
24,2024_12_05_10-29-07,24.0032,0.0161,0.32,good,-16.975200653076172,-18.30874252319336
25,2024_12_05_10-29-21,25.0199,0.0391,0.32,good,-16.812990188598633,-17.450666427612305
26,2024_12_05_10-29-32,26.0083,0.0197,0.33,good,-17.116138458251953,-16.522615432739258
27,2024_12_05_10-29-47,27.0299,0.0315,0.33,good,-16.92214584350586,-15.624604225158691
28,2024_12_05_10-30-01,28.0158,0.0258,0.33,good,-17.356653213500977,-14.773408889770508
29,2024_12_05_10-30-17,29.0125,0.0146,0.33,good,-17.774202346801758,-14.236010551452637
30,2024_12_05_10-30-37,30.0076,0.042,0.34,good,-17.85517120361328,-13.410465240478516
31,2024_12_05_10-30-48,31.0022,0.0225,0.33,good,-17.543411254882812,-12.53488826751709
32,2024_12_05_10-31-01,32.0023,0.0115,0.35,good,-17.55371856689453,-11.594779968261719
33,2024_12_05_10-31-20,33.0092,0.0266,0.33,good,-17.515378952026367,-10.709270477294922
34,2024_12_05_10-31-35,34.0049,0.011,0.33,good,-17.887596130371094,-9.843616485595703
35,2024_12_05_10-31-49,35.0154,0.0171,0.34,good,-17.764053344726562,-9.002174377441406
36,2024_12_05_10-32-03,36.0199,0.0436,0.34,good,-17.469432830810547,-8.091813087463379
37,2024_12_05_10-32-13,37.0176,0.0324,0.33,good,-17.32564353942871,-7.120754241943359
38,2024_12_05_10-32-24,38.0001,0.0371,0.34,good,-17.150707244873047,-6.176891803741455
39,2024_12_05_10-32-41,39.002,0.0107,0.34,good,-17.120630264282227,-5.225406646728516
40,2024_12_05_10-32-55,40.0108,0.0145,0.33,good,-17.2712345123291,-4.248830795288086
41,2024_12_05_10-33-06,41.0115,0.0153,0.35,good,-17.15389633178711,-3.4304051399230957
42,2024_12_05_10-33-13,42.0253,0.1177,0.33,good,-16.531307220458984,-3.2569737434387207
43,2024_12_05_10-33-17,43.0335,0.0747,0.33,good,-15.541875839233398,-3.4400994777679443
44,2024_12_05_10-33-34,44.0267,0.0287,0.33,good,-15.708609580993652,-2.689039945602417
45,2024_12_05_10-33-44,45.0226,0.0439,0.33,good,-15.96458625793457,-1.7518784999847412
46,2024_12_05_10-33-55,46.0226,0.0315,0.33,good,-16.005138397216797,-0.7632060647010803
47,2024_12_05_10-34-07,47.0176,0.0309,0.33,good,-15.961873054504395,0.21207568049430847
48,2024_12_05_10-34-19,48.0058,0.0239,0.33,good,-15.845576286315918,1.1746494770050049
49,2024_12_05_10-34-37,49.0105,0.0248,0.33,good,-15.397314071655273,2.03126859664917
50,2024_12_05_10-34-50,50.0057,0.0202,0.33,good,-15.045783042907715,2.9358558654785156
51,2024_12_05_10-35-02,51.0129,0.0326,0.34,good,-14.625765800476074,3.839256763458252
52,2024_12_05_10-35-14,52.0116,0.0297,0.34,good,-14.31795597076416,4.7835693359375
53,2024_12_05_10-35-26,53.0259,0.0316,0.33,good,-14.11432933807373,5.771951198577881
54,2024_12_05_10-35-41,54.022,0.0271,0.33,good,-14.007003784179688,6.759649276733398
55,2024_12_05_10-35-52,55.0121,0.0364,0.34,good,-13.964767456054688,7.745395660400391
56,2024_12_05_10-36-02,56.0158,0.0307,0.33,good,-14.104537963867188,8.733975410461426
57,2024_12_05_10-36-20,57.0018,0.0118,0.33,good,-14.250173568725586,9.690007209777832
58,2024_12_05_10-36-36,58.002,0.0198,0.32,good,-14.541238784790039,10.623810768127441
59,2024_12_05_10-36-56,59.0112,0.0294,0.32,good,-14.95470905303955,11.417614936828613
60,2024_12_05_10-37-10,60.0104,0.0153,0.34,good,-15.427436828613281,12.288416862487793
61,2024_12_05_10-37-23,61.0092,0.0264,0.33,good,-15.947675704956055,13.12258529663086
62,2024_12_05_10-37-37,62.006,0.0157,0.34,good,-16.512022018432617,13.931641578674316
63,2024_12_05_10-37-56,63.0142,0.0235,0.33,good,-17.156110763549805,14.672165870666504
64,2024_12_05_10-38-13,64.024,0.0293,0.34,good,-17.13556480407715,15.429247856140137
65,2024_12_05_10-38-29,65.0105,0.0218,0.34,good,-16.363418579101562,15.910467147827148
66,2024_12_05_10-38-43,66.0005,0.021,0.33,good,-15.536375999450684,16.336524963378906
