water_current,transect,SU,min,voltage,current,mAh,W,log_W,Wh,Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,rangeFinderDist,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,apmSubInfo.cameraTilt,apmSubInfo.tetherTurns,apmSubInfo.lights1,apmSubInfo.lights2,apmSubInfo.pilotGain,apmSubInfo.inputHold,apmSubInfo.rollPitchToggle,apmSubInfo.rangefinderDistance,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,temperature.temperature1,temperature.temperature2,temperature.temperature3
low,0,1,0.02,16.45,0.64,9,10.528,1.02,0.016998333,0.038359954,-2.1,-0.6,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.53,0.455023148,45209,72.27,54.54,--.--
low,0,2,0.03,16.45,0.58,9,9.541,0.98,0.019831389,0.03837037,-1.7,-0.5,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,9.54,0.455034722,45209,72.3,54.54,--.--
low,0,3,0.05,16.45,0.62,9,10.199,1.01,0.022527361,0.038381944,-1.9,-0.4,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.455046296,45209,72.34,54.54,--.--
low,0,4,0.07,16.45,0.62,9,10.199,1.01,0.025406111,0.038393519,-1.5,-0.6,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.45505787,45209,72.37,54.55,--.--
low,0,5,0.08,16.45,0.61,9,10.0345,1,0.028239167,0.038405093,-1.4,-0.5,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.04,0.455069444,45209,72.41,54.54,--.--
low,0,6,0.1,16.45,0.65,10,10.6925,1.03,0.031072222,0.038417824,-2.8,-0.5,311,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.69,0.455081019,45209,72.45,54.54,--.--
low,0,7,0.12,16.45,0.62,10,10.199,1.01,0.033859583,0.038428241,-1.3,-0.3,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.455092593,45209,72.48,54.54,--.--
low,0,8,0.13,16.45,0.59,10,9.7055,0.99,0.036829722,0.038439815,-2.5,-0.2,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,9.71,0.455104167,45209,72.52,54.55,--.--
low,0,9,0.15,16.45,0.63,10,10.3635,1.02,0.039525694,0.038451389,-1.8,-0.8,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,0,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.36,0.455115741,45209,72.55,54.55,--.--
low,0,10,0.17,16.45,0.62,10,10.199,1.01,0.04235875,0.038462963,-1.4,0.2,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.455127315,45209,72.59,54.54,--.--
low,0,11,0.18,16.45,0.62,10,10.199,1.01,0.045191806,0.038474537,-2.2,-0.4,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.455138889,45209,72.63,54.54,--.--
low,0,12,0.2,16.45,0.61,11,10.0345,1,0.047796389,0.038486111,-1.7,-0.6,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.04,0.455150463,45209,72.66,54.54,--.--
low,0,13,0.22,16.45,0.65,11,10.6925,1.03,0.050629444,0.038498843,-2,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.69,0.455162037,45209,72.72,54.54,--.--
low,0,14,0.23,16.45,0.59,11,9.7055,0.99,0.053234028,0.038509259,-2.1,-0.2,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,9.7,0.455173611,45209,72.75,54.55,--.--
low,0,15,0.25,16.45,0.62,11,10.199,1.01,0.056021389,0.038520833,-1.9,-0.2,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.455185185,45209,72.79,54.54,--.--
low,0,16,0.27,16.45,0.62,11,10.199,1.01,0.058900139,0.038532407,-1.9,-0.7,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.455196759,45209,72.82,54.54,--.--
low,0,17,0.28,16.45,0.57,12,9.3765,0.97,0.061596111,0.038545139,-1.8,-0.1,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,9.37,0.455208333,45209,72.86,54.54,--.--
low,0,18,0.3,16.45,0.62,12,10.199,1.01,0.064383472,0.038555556,-2.8,-0.4,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.455219907,45209,72.9,54.55,--.--
low,0,19,0.32,16.45,0.57,12,9.3765,0.97,0.067307917,0.03856713,-1.6,-0.1,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,9.37,0.455231481,45209,72.93,54.54,--.--
low,0,20,0.33,16.45,0.61,12,10.0345,1,0.070140972,0.038578704,-2,-0.5,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.03,0.455243056,45209,72.97,54.54,--.--
low,0,21,0.35,16.45,0.63,12,10.3635,1.02,0.072928333,0.038590278,-2.8,-0.3,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.36,0.45525463,45209,73,54.54,--.--
low,0,22,0.37,16.45,0.59,12,9.7055,0.99,0.075624306,0.038601852,-1.8,-0.4,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,9.71,0.455266204,45209,73.04,54.54,--.--
low,0,23,0.38,16.45,0.61,13,10.0345,1,0.078365972,0.038613426,-2.3,-0.2,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.03,0.455277778,45209,73.08,54.55,--.--
low,0,24,0.4,16.45,0.64,13,10.528,1.02,0.08101625,0.038625,-2.7,-0.5,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.53,0.455289352,45209,73.11,54.55,--.--
low,0,25,0.42,16.45,0.62,13,10.199,1.01,0.083757917,0.038636574,-2.9,-0.1,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.2,0.455300926,45209,73.15,54.55,--.--
low,0,26,0.43,16.45,0.61,13,10.0345,1,0.086590972,0.038648148,-2.1,-0.5,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--.--,0,--.--,0,0000:00:00,50,0,0,0,30,0,0,0,0,0,0,1,10.03,0.4553125,45209,73.18,54.55,--.--
