"SU","transect","min","Date","Time","Mode_num","Mode","V","A","W","log_W","Ah","mAh","Wh","Latitude","Longitude","EKFlat","EKFlon","DVLx","DVLy","DVLlat","DVLlon","Altitude","Depth","Depth_std","Depth_Source","Heading","Velocity_mps","Width","Area_m2","Distance","NEDz","VFR_alt"
1,"0",0.02,"2026-05-12","09:16:58",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
2,"0",0.03,"2026-05-12","09:16:59",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
3,"0",0.05,"2026-05-12","09:17:00",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
4,"0",0.07,"2026-05-12","09:17:01",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
5,"0",0.08,"2026-05-12","09:17:02",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
6,"0",0.1,"2026-05-12","09:17:03",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
7,"0",0.12,"2026-05-12","09:17:04",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
8,"0",0.13,"2026-05-12","09:17:05",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
9,"0",0.15,"2026-05-12","09:17:06",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
10,"0",0.17,"2026-05-12","09:17:07",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
11,"0",0.18,"2026-05-12","09:17:08",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
12,"0",0.2,"2026-05-12","09:17:10",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
13,"0",0.22,"2026-05-12","09:17:11",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
14,"0",0.23,"2026-05-12","09:17:12",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
15,"0",0.25,"2026-05-12","09:17:13",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
16,"0",0.27,"2026-05-12","09:17:14",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0,0,0,0,NA,NA
17,"0",0.28,"2026-05-12","09:17:15",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.162838533520699,0,0,0,NA,0
18,"0",0.3,"2026-05-12","09:17:16",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
19,"0",0.32,"2026-05-12","09:17:17",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
20,"0",0.33,"2026-05-12","09:17:18",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
21,"0",0.35,"2026-05-12","09:17:19",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
22,"0",0.37,"2026-05-12","09:17:20",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
23,"0",0.38,"2026-05-12","09:17:21",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
24,"0",0.4,"2026-05-12","09:17:22",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
25,"0",0.42,"2026-05-12","09:17:23",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
26,"0",0.43,"2026-05-12","09:17:24",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
27,"0",0.45,"2026-05-12","09:17:25",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
28,"0",0.47,"2026-05-12","09:17:26",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
29,"0",0.48,"2026-05-12","09:17:27",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
30,"0",0.5,"2026-05-12","09:17:28",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
31,"0",0.52,"2026-05-12","09:17:29",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
32,"0",0.53,"2026-05-12","09:17:30",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
33,"0",0.55,"2026-05-12","09:17:31",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
34,"0",0.57,"2026-05-12","09:17:32",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
35,"0",0.58,"2026-05-12","09:17:33",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
36,"0",0.6,"2026-05-12","09:17:34",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
37,"0",0.62,"2026-05-12","09:17:35",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
38,"0",0.63,"2026-05-12","09:17:36",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
39,"0",0.65,"2026-05-12","09:17:37",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
40,"0",0.67,"2026-05-12","09:17:38",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.325677067041397,0,0,0,NA,0
41,"0",0.68,"2026-05-12","09:17:39",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.270996890962124,0,0,0,NA,0
42,"0",0.7,"2026-05-12","09:17:40",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
43,"0",0.72,"2026-05-12","09:17:41",NA,"UNKNOWN",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"NEDz",0,0.216316714882851,0,0,0,NA,0
